location,year,km_driven,fuel_type,transmission,owner_type,mileage,engine,power,seats,price,brand,model,id
Mumbai,2010,72000,CNG,Manual,First,26.6,998.0,58.16,5.0,901250.0,maruti,wagon-r,
Pune,2015,41000,Diesel,Manual,First,19.67,1582.0,126.2,5.0,6437500.0,hyundai,creta,
Chennai,2011,46000,Petrol,Manual,First,18.2,1199.0,88.7,5.0,2317500.0,honda,jazz,
Chennai,2012,87000,Diesel,Manual,First,20.77,1248.0,88.76,7.0,3090000.0,maruti,ertiga,
Coimbatore,2013,40670,Diesel,Automatic,Second,15.2,1968.0,140.8,5.0,9136100.0,audi,a4,
Hyderabad,2012,75000,LPG,Manual,First,21.1,814.0,55.2,5.0,1210250.0,hyundai,eon,
Jaipur,2013,86999,Diesel,Manual,First,23.08,1461.0,63.1,5.0,1802500.0,nissan,micra,
Mumbai,2016,36000,Diesel,Automatic,First,11.36,2755.0,171.5,8.0,9012500.0,toyota,innova,
Pune,2013,64430,Diesel,Manual,First,20.54,1598.0,103.6,5.0,2678000.0,volkswagen,vento,
Chennai,2012,65932,Diesel,Manual,Second,22.3,1248.0,74.0,5.0,1004250.0,tata,indica,
Kochi,2018,25692,Petrol,Manual,First,21.56,1462.0,103.25,5.0,5124250.0,maruti,ciaz,
Kolkata,2012,60000,Petrol,Automatic,First,16.8,1497.0,116.3,5.0,2312350.0,honda,city,
Jaipur,2015,64424,Diesel,Manual,First,25.2,1248.0,74.0,5.0,2884000.0,maruti,swift,
Delhi,2014,72000,Diesel,Automatic,First,12.7,2179.0,187.7,5.0,13905000.0,land-rover,range,
Pune,2012,85000,Diesel,Automatic,Second,12.89,2179.0,115.0,5.0,9012500.0,land-rover,freelander,
Delhi,2014,110000,Diesel,Manual,First,13.5,2477.0,175.56,7.0,7725000.0,mitsubishi,pajero,
Kochi,2016,58950,Diesel,Manual,First,25.8,1498.0,98.6,5.0,2781000.0,honda,amaze,
Jaipur,2017,25000,Diesel,Manual,First,28.4,1248.0,74.0,5.0,3084850.0,maruti,swift,
Kochi,2014,77469,Diesel,Manual,First,20.45,1461.0,83.8,5.0,3265100.0,renault,duster,
Bangalore,2014,78500,Diesel,Automatic,First,14.84,2143.0,167.62,5.0,14420000.0,n,e,
Kochi,2014,32982,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,9553250.0,bmw,3-series,
Bangalore,2015,55392,Diesel,Manual,Second,23.65,1248.0,88.5,5.0,4248750.0,maruti,s,
Mumbai,2015,55985,Petrol,Automatic,First,13.53,1984.0,177.01,5.0,12102500.0,audi,a6,
Kolkata,2010,45807,Petrol,Manual,First,18.5,1197.0,80.0,5.0,963050.0,hyundai,i20,
Kolkata,2010,33000,Petrol,Automatic,First,14.4,1598.0,103.6,5.0,1467750.0,volkswagen,vento,
Mumbai,2012,51920,Petrol,Manual,First,16.8,1497.0,116.3,5.0,2188750.0,honda,city,
Hyderabad,2012,54000,Diesel,Manual,First,23.08,1461.0,63.1,5.0,2188750.0,nissan,micra,
Hyderabad,2013,54000,Petrol,Manual,Second,20.92,998.0,67.1,5.0,1416250.0,maruti,alto,
Kochi,2018,37430,Petrol,Manual,First,17.5,1199.0,88.7,5.0,5098500.0,honda,wrv,
Mumbai,2007,262000,Diesel,Manual,Fourth & Above,12.8,2494.0,102.0,7.0,2060000.0,toyota,innova,
Bangalore,2013,62000,Diesel,Manual,First,19.01,1461.0,108.45,5.0,3991250.0,renault,duster,
Delhi,2012,87615,Petrol,Manual,First,14.53,1798.0,138.1,5.0,3476250.0,toyota,corolla,
Bangalore,2013,72000,Diesel,Automatic,Second,11.18,2696.0,184.0,7.0,6437500.0,mahindra,ssangyong,
Kolkata,2010,35000,Diesel,Automatic,First,12.4,2698.0,179.5,5.0,5922500.0,audi,a6,
Coimbatore,2014,55431,Petrol,Manual,Second,16.09,1598.0,103.5,5.0,3594700.0,volkswagen,vento,
Jaipur,2009,83816,Petrol,Manual,Second,14.0,1061.0,64.0,5.0,952750.0,maruti,wagon-r,
Kochi,2018,50075,Diesel,Manual,First,24.3,1248.0,88.5,5.0,4444450.0,maruti,vitara,
Delhi,2017,52000,Petrol,Manual,First,18.15,1198.0,82.0,5.0,2497750.0,mahindra,kuv,
Pune,2013,85000,Diesel,Automatic,First,11.74,2987.0,254.8,5.0,14420000.0,mercedes-benz,m-class,
Chennai,2013,62000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,2575000.0,volkswagen,polo,
Delhi,2008,90000,Petrol,Manual,Second,19.7,796.0,46.3,5.0,643750.0,maruti,alto,
Kochi,2014,19698,Petrol,Manual,First,25.4,624.0,37.5,4.0,787950.0,tata,nano,
Coimbatore,2017,22033,Diesel,Manual,First,25.32,1198.0,77.0,6.0,2873700.0,mahindra,kuv,
Kochi,2014,35487,Petrol,Manual,First,18.5,1197.0,82.9,5.0,2441100.0,hyundai,i20,
Bangalore,2014,46374,Petrol,Automatic,First,14.62,1999.0,149.92,5.0,4557750.0,hyundai,elantra,
Mumbai,2016,52001,Petrol,Automatic,First,14.28,1798.0,138.03,5.0,5206650.0,toyota,corolla,
Ahmedabad,2008,58005,Diesel,Manual,Second,14.9,1991.0,112.2,5.0,2188750.0,hyundai,elantra,
Bangalore,2012,70704,Petrol,Manual,First,11.25,2694.0,163.7,7.0,5639250.0,toyota,innova,
Jaipur,2014,75000,Diesel,Manual,First,24.4,1120.0,71.0,5.0,1982750.0,hyundai,xcent,
Jaipur,2012,75800,Diesel,Manual,Second,16.55,2498.0,105.0,6.0,2832500.0,mahindra,thar,
Kochi,2015,13648,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,11036450.0,audi,a4,
Delhi,2014,52000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,2188750.0,maruti,swift,
Kolkata,2014,53000,Diesel,Manual,First,17.8,1248.0,75.0,5.0,1699500.0,maruti,swift,
Delhi,2013,65650,Diesel,Manual,First,28.4,1248.0,74.0,5.0,1982750.0,maruti,swift,
Chennai,2015,54000,Petrol,Manual,Third,18.9,1197.0,82.0,5.0,1854000.0,hyundai,grand,
Kolkata,2015,39000,Petrol,Manual,First,15.04,1598.0,103.2,5.0,2054850.0,volkswagen,vento,
Kochi,2017,16542,Petrol,Manual,First,25.17,799.0,53.3,5.0,1699500.0,renault,kwid,
Kolkata,2010,32000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,1066050.0,hyundai,i10,
Hyderabad,2010,121812,Diesel,Automatic,First,13.29,1995.0,147.6,5.0,3991250.0,nissan,x-trail,
Hyderabad,2010,39300,Petrol,Manual,First,18.2,998.0,67.1,5.0,1158750.0,maruti,zen,
Mumbai,2017,22000,Diesel,Manual,First,13.68,2393.0,147.8,8.0,8497500.0,toyota,innova,
Bangalore,2010,72000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,1416250.0,ford,figo,
Delhi,2015,58000,Petrol,Automatic,First,11.74,1796.0,186.0,5.0,13750500.0,n,e,
Pune,2011,65000,Diesel,Manual,Second,15.8,2148.0,170.0,5.0,5150000.0,n,e,
Chennai,2016,178000,Diesel,Manual,First,25.0,1396.0,69.0,5.0,1287500.0,tata,indica,
Jaipur,2012,65664,Diesel,Automatic,First,16.55,1968.0,140.0,5.0,6952500.0,audi,a4,
Mumbai,2007,63000,Petrol,Automatic,Second,16.4,1497.0,78.0,5.0,952750.0,honda,city,
Coimbatore,2019,15369,Diesel,Automatic,First,13.88,1950.0,194.0,5.0,18370050.0,mercedes-benz,c-class,
Pune,2016,63000,Diesel,Manual,First,24.52,1248.0,88.5,7.0,4197250.0,maruti,ertiga,
Mumbai,2018,13000,Diesel,Manual,First,22.1,1396.0,88.7,5.0,5407500.0,hyundai,creta,
Mumbai,2008,73000,Petrol,Automatic,First,8.5,4806.0,500.0,5.0,7467500.0,porsche,cayenne,
Mumbai,2015,55729,Diesel,Manual,First,15.1,2179.0,140.0,7.0,4969750.0,mahindra,xuv500,
Kochi,2012,45178,Petrol,Automatic,First,16.95,1197.0,78.9,5.0,1792200.0,hyundai,i10,
Kochi,2015,56066,Diesel,Manual,First,19.64,1461.0,108.5,5.0,3563800.0,nissan,terrano,
Coimbatore,2016,37300,Petrol,Automatic,Second,16.5,1198.0,86.8,5.0,3326900.0,honda,brio,
Delhi,2014,56000,Diesel,Automatic,Second,18.53,1968.0,187.74,5.0,15192500.0,audi,a6,
Jaipur,2008,111111,Diesel,Manual,First,17.8,1399.0,96.76,5.0,1030000.0,ford,fiesta,
Chennai,2006,230000,Petrol,Manual,Third,12.4,1998.0,132.0,8.0,2317500.0,toyota,innova,
Hyderabad,2012,104000,Diesel,Manual,First,12.8,2494.0,102.0,7.0,6051250.0,toyota,innova,
Hyderabad,2005,87591,Petrol,Manual,First,19.29,1086.0,92.23,5.0,669500.0,hyundai,santro,
Jaipur,2012,95100,Diesel,Manual,First,22.9,1248.0,74.0,5.0,1931250.0,maruti,swift,
Pune,2017,70000,Petrol,Manual,First,17.57,1193.0,88.7,5.0,2317500.0,tata,zest,
Kochi,2016,54944,Petrol,Manual,First,18.0,1198.0,86.7,5.0,2482300.0,honda,amaze,
Hyderabad,2012,70337,Diesel,Manual,First,20.0,1399.0,68.0,5.0,1442000.0,ford,figo,
Jaipur,2013,99638,Diesel,Manual,First,23.2,1248.0,73.94,5.0,1601650.0,maruti,ritz,
Delhi,2009,52000,Petrol,Manual,First,17.8,1497.0,117.3,5.0,1673750.0,honda,city,
Delhi,2011,75000,Diesel,Automatic,Second,16.73,1995.0,218.0,5.0,7158500.0,bmw,5-series,
Pune,2009,95980,Petrol,Manual,First,20.36,1197.0,78.9,5.0,1158750.0,hyundai,i10,
Bangalore,2016,16000,Petrol,Manual,First,18.9,1197.0,82.0,5.0,2961250.0,hyundai,grand,
Hyderabad,2007,73745,Petrol,Manual,First,17.0,1086.0,92.23,5.0,1081500.0,hyundai,santro,
Mumbai,2016,18949,Petrol,Manual,First,17.8,1198.0,86.7,5.0,2575000.0,honda,amaze,
Delhi,2014,107000,Diesel,Manual,First,13.0,2982.0,168.5,7.0,8497500.0,toyota,fortuner,
Coimbatore,2018,48367,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,20383700.0,audi,a6,
Delhi,2013,57000,Diesel,Manual,First,22.7,1498.0,89.84,5.0,2832500.0,ford,ecosport,
Delhi,2014,58000,Diesel,Manual,First,15.1,2179.0,140.0,7.0,4171500.0,mahindra,xuv500,
Kolkata,2015,30000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,1802500.0,honda,amaze,
Kolkata,2013,34212,Diesel,Manual,First,22.07,1199.0,73.9,5.0,1436850.0,volkswagen,polo,
Ahmedabad,2010,70002,Diesel,Manual,First,16.2,1493.0,110.0,5.0,1776750.0,hyundai,verna,
Bangalore,2016,62000,Petrol,Manual,First,18.9,998.0,67.1,5.0,2291750.0,maruti,wagon-r,
Delhi,2010,62001,Petrol,Manual,First,15.26,1598.0,103.5,5.0,1364750.0,volkswagen,polo,
Pune,2011,78958,Diesel,Manual,Second,23.0,1396.0,90.0,5.0,1957000.0,hyundai,i20,
Mumbai,2014,30180,Petrol,Manual,First,18.5,1197.0,82.85,5.0,2394750.0,hyundai,i20,
Pune,2017,32851,Petrol,Manual,First,19.83,1198.0,67.0,7.0,2034250.0,datsun,go,
Kolkata,2010,30000,Diesel,Automatic,First,14.94,2967.0,241.4,5.0,5047000.0,audi,a4,
Pune,2009,66000,Petrol,Manual,Second,17.0,1197.0,80.0,5.0,1390500.0,hyundai,i20,
Coimbatore,2010,93850,Petrol,Manual,First,14.0,796.0,35.0,5.0,1241150.0,maruti,omni,
Ahmedabad,2014,53000,Petrol,Manual,First,17.71,1197.0,78.9,5.0,2008500.0,toyota,etios,
Hyderabad,2011,78000,Diesel,Automatic,Second,14.74,2993.0,270.9,5.0,12360000.0,jaguar,xf,
